"Make";"Model";"Price";"HP";"Capacity";"Mileage";"Fuel";"Production"
"Peugeot";"307";29900;110;1560;158000;"diesel";2007
"Peugeot";"307";26500;110;1600;147000;"gasoline";2007
"Peugeot";"307";15900;110;1997;173000;"diesel";2003
"Peugeot";"307";10000;90;1997;2e+05;"diesel";2003
"Peugeot";"307";19500;90;1560;172256;"diesel";2007
"Peugeot";"307";16900;108;1997;104000;"diesel";2004
"Peugeot";"307";18300;110;1560;122000;"diesel";2006
"Peugeot";"307";18900;90;1600;164500;"diesel";2005
"Peugeot";"307";21700;90;1997;162000;"diesel";2005
"Peugeot";"307";24900;109;1600;185000;"diesel";2005
"Peugeot";"307";19900;136;1997;123000;"diesel";2005
"Peugeot";"307";26900;110;1560;143000;"diesel";2007
"Peugeot";"307";18900;110;1600;132000;"diesel";2007
"Peugeot";"307";28500;110;1587;87000;"gasoline";2006
"Peugeot";"307";17900;90;2000;174000;"diesel";2004
"Peugeot";"307";17800;90;1560;117000;"diesel";2007
"Peugeot";"307";18200;109;1500;69000;"gasoline";2003
"Peugeot";"307";15900;90;2000;166000;"diesel";2004
"Peugeot";"307";17900;110;1560;153000;"diesel";2005
"Peugeot";"307";18900;110;1997;158000;"diesel";2004
"Peugeot";"307";14400;70;1400;174000;"diesel";2005
"Peugeot";"307";17500;90;1560;148032;"diesel";2006
"Peugeot";"307";13200;110;1587;103000;"gasoline";2003
"Peugeot";"307";14950;110;1600;240000;"diesel";2005
"Peugeot";"307";21900;110;1560;158000;"diesel";2005
"Peugeot";"307";19600;110;1560;134;"diesel";2004
"Peugeot";"307";13900;90;1997;266785;"diesel";2003
"Peugeot";"307";15900;110;2000;180000;"diesel";2003
"Peugeot";"307";13000;90;2000;159181;"diesel";2004
"Peugeot";"307";19500;110;1560;206000;"diesel";2005
"Peugeot";"307";27900;110;1600;149000;"diesel";2007
"Peugeot";"307";19900;136;1997;125000;"diesel";2005
"Peugeot";"307";22900;90;1560;62000;"diesel";2008
"Peugeot";"307";23300;110;1600;160000;"diesel";2006
"Peugeot";"307";24900;90;1560;126820;"diesel";2005
"Peugeot";"307";22900;110;1600;158000;"diesel";2005
"Peugeot";"307";19400;136;2000;194000;"diesel";2004
"Peugeot";"307";41000;110;1600;73000;"gasoline";2006
"Peugeot";"307";15800;90;1997;183000;"diesel";2004
"Peugeot";"307";15900;70;1398;148400;"diesel";2005
"Peugeot";"307";6900;90;1997;90000;"diesel";2004
"Peugeot";"307";18500;68;1400;190000;"diesel";2003
"Peugeot";"307";22525.68;87;1600;133000;"diesel";2005
"Peugeot";"307";13900;70;1398;154000;"diesel";2004
"Peugeot";"307";23990;90;1560;136500;"diesel";2007
"Peugeot";"307";25500;180;2000;147000;"gasoline";2005
"Peugeot";"307";16938.9;107;1997;157721;"diesel";2003
"Peugeot";"307";17900;90;2000;136780;"diesel";2004
"Peugeot";"307";16450;90;1560;71000;"diesel";2005
"Peugeot";"307";23900;110;1587;153000;"gasoline";2007
"Peugeot";"307";15900;108;1997;152000;"diesel";2003
"Peugeot";"307";16900;88;1360;66000;"gasoline";2006
"Peugeot";"307";24900;90;1560;180000;"diesel";2007
"Peugeot";"307";18649.9;90;1997;156400;"diesel";2003
"Peugeot";"307";13500;110;1600;163000;"diesel";2004
"Peugeot";"307";34800;136;2000;117000;"diesel";2007
"Peugeot";"307";14500;90;1997;156000;"diesel";2003
"Peugeot";"307";18700;110;1997;143000;"diesel";2003
"Peugeot";"307";17900;110;1560;177000;"diesel";2004
"Peugeot";"307";27900;110;1600;80000;"diesel";2006
"Peugeot";"307";21490;88;1360;86000;"gasoline";2007
"Peugeot";"307";27900;90;1600;90146;"diesel";2007
"Peugeot";"307";26900;110;1600;144000;"diesel";2007
"Peugeot";"307";18900;110;1600;160000;"diesel";2005
"Peugeot";"307";20360.9;88;1360;77000;"gasoline";2006
"Peugeot";"307";18803.89;107;1997;145788;"diesel";2003
"Peugeot";"307";18500;110;2000;163000;"diesel";2003
"Peugeot";"307";19900;90;1997;140000;"diesel";2004
"Peugeot";"307";19676.3289;109;1986;120000;"diesel";2004
"Peugeot";"307";12750;71;1400;106541;"diesel";2003
"Peugeot";"307";20360.7289;107;1997;187000;"diesel";2004
"Peugeot";"307";15900;90;1997;157000;"diesel";2003
"Peugeot";"307";12900;70;1398;165000;"diesel";2003
"Peugeot";"307";17965.5;68;1400;141000;"diesel";2004
